,,,
,2000,2010,2020
1. Rogers Park,,,
Total,"63,484","54,991","55,643"
Asian,"4,063","3,523","3,018"
Black or African-American,"18,767","14,461","15,059"
Persons of Spanish Language*,"17,639","13,433","10,537"
White,"20,170","21,618","24,644"
Other,"2,845","1,956","2,385"
,,,
2. West Ridge,,,
Total,"73,199","71,942","78,763"
Asian,"16,347","16,184","16,556"
Black or African-American,"4,962","8,015","9,166"
Persons of Spanish Language*,"11,353","14,701","15,514"
White,"36,403","30,706","33,123"
Other,"4,134","2,336","4,404"
,,,
3. Uptown,,,
Total,"63,551","56,362","59,453"
Asian,"8,206","6,414","6,173"
Black or African-American,"13,415","11,275","10,752"
Persons of Spanish Language*,"12,674","8,009","8,911"
White,"26,784","29,098","31,611"
Other,"2,472","1,566","2,006"
,,,
4. Lincoln Square,,,
Total,"44,574","39,493","41,350"
Asian,"5,921","4,399","3,771"
Black or African-American,"1,342","1,488","1,234"
Persons of Spanish Language*,"11,831","7,562","7,373"
White,"23,716","24,916","26,590"
Other,"1,764","1,128","2,382"
,,,
5. North Center,,,
Total,"31,895","31,867","36,142"
Asian,"1,324","1,449","2,156"
Black or African-American,"1,333",738,923
Persons of Spanish Language*,"6,496","4,330","4,323"
White,"21,938","24,634","27,005"
Other,804,716,"1,735"
,,,
6. Lake View,,,
Total,"94,817","94,368","101,428"
Asian,"5,143","5,653","7,146"
Black or African-American,"4,193","3,651","4,304"
Persons of Spanish Language*,"8,268","7,198","9,102"
White,"75,363","75,845","77,260"
Other,"1,850","2,021","3,616"
,,,
7. Lincoln Park,,,
Total,"64,320","64,116","69,568"
Asian,"2,325","3,296","5,084"
Black or African-American,"3,323","2,753","2,636"
Persons of Spanish Language*,"3,254","3,571","4,349"
White,"54,341","53,138","55,637"
Other,"1,077","1,358","1,862"
,,,
8. Near North Side,,,
Total,"72,811","80,484","98,528"
Asian,"4,434","8,140","14,091"
Black or African-American,"13,884","8,732","7,062"
Persons of Spanish Language*,"2,805","3,974","6,100"
White,"50,397","58,033","68,030"
Other,"1,291","1,605","3,245"
,,,
9. Edison Park,,,
Total,"11,259","11,187","11,002"
Asian,200,269,282
Black or African-American,19,29,46
Persons of Spanish Language*,463,872,"1,086"
White,"10,503","9,885","9,101"
Other,74,132,487
,,,
10. Norwood Park,,,
Total,"37,669","37,023","38,088"
Asian,"1,216","1,696","1,674"
Black or African-American,332,164,249
Persons of Spanish Language*,"2,409","4,442","5,887"
White,"33,288","30,157","29,301"
Other,424,564,977
,,,
11. Jefferson Park,,,
Total,"25,859","25,448","27,194"
Asian,"1,237","2,256","3,151"
Black or African-American,81,265,714
Persons of Spanish Language*,"2,881","4,927","6,626"
White,"21,101","17,475","15,831"
Other,559,525,872
,,,
12. Forest Glen,,,
Total,"18,165","18,508","19,928"
Asian,"1,586","1,989","2,038"
Black or African-American,71,137,111
Persons of Spanish Language*,"1,389","2,126","2,627"
White,"14,793","13,815","14,719"
Other,326,441,433
,,,
13. North Park,,,
Total,"18,514","17,931","18,806"
Asian,"4,415","4,600","4,939"
Black or African-American,452,573,421
Persons of Spanish Language*,"2,652","3,224","3,522"
White,"10,336","8,847","9,167"
Other,659,687,757
,,,
14. Albany Park,,,
Total,"57,655","51,542","49,280"
Asian,"10,178","7,430","6,179"
Black or African-American,"1,907","2,076","2,520"
Persons of Spanish Language*,"26,741","25,487","22,673"
White,"15,866","15,054","16,577"
Other,"2,963","1,495","1,331"
,,,
15. Portage Park,,,
Total,"65,340","64,124","63,919"
Asian,"2,467","2,972","3,799"
Black or African-American,336,856,1048
Persons of Spanish Language*,"15,022","24,861","27,173"
White,"45,418","34,329","30,042"
Other,"2,097","1,106","1,857"
,,,
16. Irving Park,,,
Total,"58,643","53,359","53,604"
Asian,"4,362","3,736","4,602"
Black or African-American,"1,121","1,736","1,466"
Persons of Spanish Language*,"25,401","24,332","22,062"
White,"25,912","22,234","23,585"
Other,"1,847","1,321","1,889"
,,,
17. Dunning,,,
Total,"42,164","41,932","43,587"
Asian,"1,315","1,587","2,207"
Black or African-American,234,308,909
Persons of Spanish Language*,"5,441","9,997","14,005"
White,"34,394","29,512","26,028"
Other,780,528,438
,,,
18. Montclare,,,
Total,"12,646","13,426","14,382"
Asian,337,377,365
Black or African-American,264,598,448
Persons of Spanish Language*,"4,865","7,248","8,003"
White,"6,892","5,041","5,207"
Other,288,162,359
,,,
19. Belmont Cragin,,,
Total,"78,144","78,743","78,788"
Asian,"1,989","1,537","1,734"
Black or African-American,"2,000","2,493","1,926"
Persons of Spanish Language*,"50,881","62,101","62,943"
White,"21,881","11,959","11,272"
Other,"1,393",653,913
,,,
20. Hermosa,,,
Total,"26,908","25,010","23,163"
Asian,319,294,534
Black or African-American,649,757,1046
Persons of Spanish Language*,"22,574","21,860","19,116"
White,"3,086","1,913","2,291"
Other,280,186,176
,,,
21. Avondale,,,
Total,"43,083","39,262","37,360"
Asian,953,"1,194","1,670"
Black or African-American,669,991,806
Persons of Spanish Language*,"26,700","25,295","20,145"
White,"12,757","11,166","13,301"
Other,"2,004",616,1438
,,,
22. Logan Square,,,
Total,"82,715","72,791","72,305"
Asian,"1,087","1,828","3,048"
Black or African-American,"4,290","3,900","3,233"
Persons of Spanish Language*,"53,833","37,295","26,061"
White,"21,742","28,514","37,608"
Other,"1,763","1,254","2,355"
,,,
23. Humboldt Park,,,
Total,"65,836","56,323","54,401"
Asian,239,222,288
Black or African-American,"31,207","23,030","17,999"
Persons of Spanish Language*,"31,607","30,046","30,160"
White,"2,184","2,502","4,907"
Other,599,523,"1,047"
,,,
24. West Town,,,
Total,"87,435","82,236","80,383"
Asian,"1,510","3,106","4,326"
Black or African-American,"7,979","6,404","4,817"
Persons of Spanish Language*,"40,966","23,901","17,308"
White,"34,445","47,051","50,467"
Other,"2,535","1,774","3,465"
,,,
25. Austin,,,
Total,"117,527","98,514","95,073"
Asian,642,573,319
Black or African-American,"105,369","83,837","71,951"
Persons of Spanish Language*,"4,841","8,722","16,210"
White,"5,662","4,364","5,024"
Other,"1,013","1,018",1569
,,,
26. West Garfield Park,,,
Total,"23,019","18,001","16,489"
Asian,18,8,3
Black or African-American,"22,564","17,315","15,238"
Persons of Spanish Language*,201,348,574
White,133,133,456
Other,103,197,218
,,,
27. East Garfield Park,,,
Total,"20,881","20,567","18,075"
Asian,25,83,159
Black or African-American,"20,296","18,696","15,340"
Persons of Spanish Language*,207,850,863
White,235,698,"1,074"
Other,118,240,639
,,,
